yyyymm,BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp60_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp60_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp60_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp26_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp60_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp26_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp60_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp85_r1i1p1
209205,1.1154196,5.540093,3.371565,3.2561858,2.5562174,2.918502,2.1043308,2.829661,3.7641625,2.9400742,3.7024977,5.849566,4.302456,7.9551206,2.9872537,3.7553518,4.0125656,3.6561344,4.3328156,3.346162,3.673492,3.9605315,7.622808,2.4158807,3.4864917,2.8577056,5.516333,1.1988256,0.825736,2.5523663,4.6378045,3.6966639,3.435831,3.105406,4.5929356,2.2239246,2.5028746,2.1962917,3.7305317,5.0819974,7.364245,2.3087394,4.011718,3.8389933,1.9778374,1.9485056,5.155282,1.8331997,1.4504101,2.0858662,2.536243,1.2614446,4.187362,4.8857265,3.6326685,3.12714,3.4934487,3.4779885,2.2523763,4.6663156,2.0701177,5.5909266,6.371628,3.7527945,2.6162128,2.754718,2.098025,3.397505,3.0770307
209206,2.481466,2.969288,4.2954836,4.294454,6.834581,2.8204026,4.206487,3.8190336,2.1134822,3.22076,2.9013548,2.9020393,1.7696921,4.395726,5.7623644,3.701791,7.926055,3.3287988,5.048384,6.1001334,6.0740724,4.990756,3.57569,3.88851,4.317321,4.690653,3.67169,1.4004468,0.9831791,4.983454,3.3033056,6.3825274,6.9436903,2.6616795,3.2397082,1.0903578,3.3259237,2.767606,4.1337733,3.2001207,3.5416024,4.745123,3.5616221,1.9376549,4.674855,3.2408988,5.5299473,4.696794,4.5868626,5.808218,5.224272,3.3448186,3.1300645,2.0457416,3.5680377,3.6106024,5.2765718,3.4409072,6.084193,3.9170012,5.965426,6.203443,2.0190744,2.3728237,4.0942063,1.7570755,1.6628499,3.3677895,4.2886305
209207,6.299877,5.189872,2.6485732,4.5750475,5.4218674,3.0158117,2.2777042,4.3126802,3.9006152,8.382002,3.6427686,9.512089,4.942999,5.040951,2.5011594,3.3767996,5.7744365,4.42374,4.8486795,6.3575497,5.9487677,6.261684,3.008701,4.1299276,4.7303195,5.813187,8.292084,4.659686,6.225339,3.8120677,4.1321397,7.5515146,3.9851642,4.160771,4.8700166,4.6680593,2.4627855,3.5939476,7.322094,3.7316897,1.6951764,4.98451,5.5210958,5.5296493,4.6832786,2.5240202,3.537353,5.3936296,3.9886117,3.733891,2.8240726,1.8324002,4.895985,3.25425,3.9877193,5.165275,4.6862416,5.543598,5.773009,2.9322896,5.0920143,5.9027343,6.5364213,2.037487,1.8379374,3.8506029,2.0588906,4.7477818,5.057759
209208,4.3861814,2.941738,2.4947875,5.694312,7.1739206,3.2802627,3.0553358,5.268881,2.0112765,7.1884985,5.2603965,3.8476975,1.3806196,6.2220745,3.582803,2.9349413,2.2410417,7.3068337,2.498981,5.3820887,6.196034,5.151364,2.5428011,6.632142,3.5620482,3.506098,4.5083055,3.4507582,3.820418,9.899372,4.763702,4.2799397,3.4302723,2.0662532,5.735272,3.5085254,2.9328008,2.9807875,2.7560241,3.3119845,3.5597742,5.1597934,3.1107028,2.3243952,2.8009758,2.975176,5.6620708,4.722835,2.052704,5.567877,5.2199016,2.848866,5.293014,3.8717601,4.640109,4.3314743,4.6357636,4.536751,3.91472,3.0360985,2.606761,4.9886355,7.2444496,3.9399211,1.2922798,4.8392506,3.3260424,0.50202084,3.0796397
209209,1.8689904,5.078935,2.6245894,2.4648774,3.400626,4.885719,3.960307,2.30296,4.9749117,3.9744494,5.8442526,3.098776,9.503956,3.749823,4.7364287,5.6228995,7.424026,4.3799205,4.3650093,3.6724482,3.053796,1.794092,1.5179,5.2056546,4.0345407,4.200926,7.6366496,1.0602394,3.026796,1.77844,5.165921,4.3993716,6.313213,3.8230228,5.1547613,5.5969286,3.016322,3.4639456,2.482709,2.256447,2.4686832,3.3159795,4.8857784,2.080081,2.6518383,3.158071,4.8091226,9.30923,6.099177,3.8064737,6.3958673,2.4832556,1.9748973,3.30315,6.517222,6.0455146,7.742882,11.255523,4.2181783,1.4309053,1.8251714,4.1653256,8.445372,7.073602,4.1026306,5.670849,1.7320361,1.8329178,1.8658102
209210,0.38687754,0.7329131,3.6137686,4.6432824,2.7358766,4.142325,3.6095922,1.4452044,1.9379618,1.4839908,3.2825997,5.005793,8.957499,2.5997741,2.8566358,2.2041488,1.0684837,4.1917434,4.4616776,3.7299082,4.4068017,3.0322778,5.90356,1.6787649,3.724996,2.9221275,3.3698342,2.044921,0.8506978,2.859024,2.711755,3.608636,0.8135371,4.438791,4.2500763,6.671668,4.998721,3.1165977,4.2023635,7.6494927,1.6528426,2.7546206,3.7196968,3.793584,1.4669867,1.7616241,2.1382418,1.1572978,4.64996,2.9652343,3.784725,8.289961,3.1361392,3.51979,3.836229,2.2715113,4.041567,7.26959,4.8349805,3.343611,1.7235076,2.8219028,4.5545726,1.1075709,3.304634,4.1353164,3.608625,4.506787,1.2595204
209211,3.213555,0.9622873,6.6165485,4.9246545,2.8352203,4.3520103,3.6248128,5.7145762,2.189495,4.5496554,2.3460531,3.2930536,1.613821,1.7191662,2.5877507,1.0253412,5.1198335,1.9929359,4.4239435,5.9238954,4.166475,2.0978465,1.7372824,6.777797,1.0793607,2.7741659,1.0112185,3.0842383,3.1154265,1.3705188,1.1364932,2.0650928,0.4039028,1.4499905,5.40925,2.3648574,2.0163867,3.3710334,1.983384,1.7814943,2.8214648,1.7907851,2.110885,2.3844216,3.1956458,3.6442783,1.4936807,4.1994004,4.9776764,3.4728403,2.2732165,3.3265467,1.7479731,1.2165599,1.6775314,3.0959723,2.465757,6.0212083,6.618543,1.669759,1.2450756,3.8166516,5.085333,2.785317,1.7051371,1.6630144,3.9999619,2.1432204,4.1676297
209212,5.3104324,4.031996,3.3235722,2.9900799,2.5366237,1.8411838,2.3328316,3.3595402,1.2017186,2.5423334,2.8576088,3.9718215,1.5878067,1.6549523,2.31438,5.5006547,2.239852,5.964609,5.102465,3.6942906,3.9435296,3.2182214,7.2843003,1.130949,1.6375836,4.52359,3.8005607,3.403168,1.7766197,1.3996866,2.0444,0.3752121,1.8082163,2.1985743,1.9448093,1.7892541,0.3548716,3.8737888,4.800833,1.4819009,5.216885,3.935772,4.18445,1.3257259,5.028522,1.4038211,2.3032372,2.3930914,3.626449,2.4906275,2.99411,6.61278,4.4165745,1.52455,6.689298,2.9620237,3.9340086,2.2644048,3.90257,4.1730676,3.2975528,6.715166,0.9016425,4.4670863,2.6723406,2.430298,2.6475055,3.2211869,1.988722
209301,4.946509,1.2833083,1.0296321,2.3524618,5.1137905,3.6209097,0.79793495,1.732289,3.314265,4.739289,1.081763,5.4762926,4.5181446,2.1667087,1.9334849,3.599386,3.1194756,4.321441,4.872705,4.271351,4.2748375,3.2319252,2.826621,1.0052364,5.3943434,3.7319825,2.921249,2.5217974,2.9215508,4.010661,5.384179,3.7457898,1.0993882,1.9143481,4.5739236,3.58303,3.3073542,3.006846,1.938307,3.0475404,2.5561657,3.6638389,2.7068033,2.0031223,6.9371142,4.84995,4.7996306,2.6211584,2.5537367,4.0091186,1.3375484,5.9475284,2.9173572,5.1811914,3.020025,2.28097,3.0761266,4.9587817,2.0174057,3.763484,5.8812084,2.322407,8.676355,0.8358191,2.7937465,2.5915337,6.77497,3.3475218,1.7906076
209302,6.223385,2.63278,2.7054875,1.1320658,3.7878528,6.42989,3.4672008,4.340767,3.2094507,7.4196897,3.486889,4.9748034,4.2603297,4.765149,3.3096547,1.9551282,4.4036922,4.972236,1.6469922,8.415318,9.144968,4.5730696,3.1670341,3.2005703,7.3728185,2.777977,4.576969,3.3930945,1.7404904,3.5782409,1.7207603,3.7836518,3.3534746,2.86483,4.0336885,2.1033788,3.6629593,7.06152,4.4904723,8.373007,2.306523,2.2220054,5.3121376,5.9376593,1.681223,3.731544,5.820506,6.2377853,2.3593218,5.233777,2.9753735,10.976704,3.254257,3.438428,2.886477,2.3283696,6.6677146,3.937087,4.3771605,3.6538959,1.5376167,5.113659,2.457907,4.7392344,8.811441,4.750159,3.733287,2.997784,3.4263644
