yyyymm,BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp60_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp60_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp60_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp26_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp60_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp26_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp60_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp85_r1i1p1
203601,4.4825125,2.3417535,3.156837,2.1950192,5.465784,4.258898,6.3960395,2.1830876,3.8443618,3.2448902,4.11826,4.262595,3.3256013,4.1139965,4.0410767,2.6703484,3.7704241,2.7435036,4.5956316,2.5751402,5.6110516,3.6779866,3.5438275,2.734745,2.123404,3.411912,2.2745545,4.281325,4.720245,4.3047504,3.0123053,3.3041456,4.903553,2.4030638,2.0473406,2.3638308,3.1590598,3.262733,3.5094726,1.9840192,2.9684596,4.0018096,3.3878677,5.719087,3.5387447,4.162745,3.3694432,3.1931045,3.1510963,4.1536703,2.6936772,2.5227997,3.6574743,5.5402465,3.1727328,3.365192,5.503478,4.4147825,4.9245296,3.6639884,5.550346,2.6945884,4.3428583,3.3235984,2.2579105,5.1775966,3.1521404,3.7521374,3.2039325
203604,2.3253183,2.9341958,3.6596758,2.9265563,4.3570414,3.0300395,4.2776427,2.145097,4.741292,2.9875777,2.986454,3.130808,3.2878115,3.9842272,3.1258159,2.6210747,3.2595308,3.2889814,5.473099,2.5816805,3.4179957,3.5269318,4.358882,3.0733416,3.755572,5.031486,3.9292226,3.0421562,4.470525,2.0969567,3.3575044,1.6888933,1.9392003,1.6369505,3.163198,2.0773542,3.0196486,4.5682263,2.903436,3.8193057,5.257077,3.654305,4.1737595,4.340366,5.2234716,4.9630456,4.08635,4.099615,4.159978,4.602152,3.5022566,1.8733995,4.5780263,3.9889765,4.4588103,3.288254,5.130123,3.8165169,3.2521439,4.1031737,2.9386349,2.314567,3.2395413,2.845021,4.1481466,4.4883924,2.6222403,2.438277,3.149133
203607,2.855155,2.4273727,4.552445,2.9181683,3.362065,3.6735702,4.025233,2.9454587,3.474223,3.7198308,5.1311727,2.6472683,6.3937902,2.4418983,4.574545,5.922492,4.0002193,1.9892625,4.866843,5.2695913,4.1905413,5.7916055,3.6485376,2.4202986,3.424825,4.2301784,5.1885037,2.8731813,4.751587,3.5410352,4.829065,3.089865,4.913758,3.3818254,4.2066865,2.9703786,3.0380175,3.0389493,3.700158,3.1196012,3.3896937,3.624952,2.7897696,2.897753,4.6998467,3.3811197,2.98903,3.486357,3.3066168,5.1866665,3.6620665,3.353112,4.5762463,3.1970441,3.7624424,4.1497097,3.7113953,3.158397,3.5409908,4.7840805,4.54281,3.9818738,3.7461226,1.6275539,3.391563,3.892414,3.5610714,3.8712792,4.7669353
203610,6.4025393,3.16686,5.4900107,3.69835,3.4105246,3.1209083,2.4839091,2.3654006,2.7273438,1.9589738,3.8588493,6.623427,2.4572635,1.7407638,6.5071254,4.3438873,3.1227741,2.291842,1.2508442,2.1563706,1.6412188,3.2953548,2.3344934,3.354165,2.53346,2.0096133,3.3770661,2.2516735,2.5860367,2.970002,2.6724374,3.413588,2.2714856,2.81091,3.658649,2.6156125,2.1776998,2.5550933,2.9026036,3.1139424,3.085142,2.957243,2.9895544,2.642073,3.1960397,3.7425563,3.0376606,5.146214,3.0226285,3.7822387,4.5129247,2.819999,3.6443048,2.0881023,1.2621095,4.7980433,3.132961,3.638759,4.5416155,2.5560982,3.2970846,4.105159,2.955805,3.1132026,1.4173483,1.5658543,2.1676428,2.1920855,2.6882591
203701,3.8964205,2.9698613,5.16556,3.3152552,4.3210754,2.9491897,2.498618,2.4450896,4.8386416,4.935169,3.218591,2.6225915,3.7946086,3.9198334,3.1410065,2.8313642,4.2595477,2.9364336,3.6132696,4.8519783,4.840698,3.1772225,1.326067,3.6227741,4.6672387,5.496035,4.0230055,3.3175683,3.628354,2.6696455,3.1793246,3.2564573,3.8860126,2.895556,5.0556045,3.2029183,3.012076,3.6694398,4.063146,3.3845391,3.618269,3.7854342,3.7624981,3.9839466,3.1445231,4.5714164,2.7650232,2.3146722,4.2428617,4.203845,4.90898,3.4983907,4.4887204,3.5966098,2.8792791,3.7821107,4.68761,3.701495,2.609574,1.9794856,2.941358,4.604397,2.9324043,3.5801024,3.8180132,3.3177698,4.8944383,3.522841,4.063906
203704,2.7084143,5.5810866,4.8848248,2.6694374,2.9717507,2.5617156,4.0272255,2.6969213,3.3250904,2.8636806,4.7712674,3.7346582,3.601127,3.0031712,4.6146626,4.2604256,4.731881,5.2284546,2.98689,4.5854893,5.368155,2.4571834,2.3369753,4.313172,4.0965357,3.2490835,5.4259872,3.678556,2.6758053,3.56391,4.2759132,3.2874713,3.123467,3.0346541,3.192017,2.727416,3.3475015,3.4955513,4.0192947,4.3175964,4.8081098,2.6213923,3.7436898,4.2548995,4.174048,3.283504,5.8639193,4.36719,3.3374178,3.4772322,4.5413566,4.0753384,3.0808728,3.7264733,4.090093,3.3265386,3.1698852,3.3457227,2.8691916,3.3322198,5.462974,3.6324751,2.492429,4.033697,2.5058756,4.467,4.519661,3.2909572,3.46421
203707,4.633248,2.144822,4.8102098,3.548925,4.710464,5.0344825,4.9339967,3.5249515,3.5141106,4.253235,2.2628143,4.0026493,4.1234946,3.2267494,4.592161,5.748492,3.3523517,2.2166262,4.8572617,4.6308284,4.369205,4.204759,2.0483854,3.0032718,2.936513,3.572761,4.8101377,3.629408,4.083146,2.2685938,5.610908,3.5826461,5.333078,4.579156,5.1676803,3.6540136,2.8683882,4.4341903,2.0697472,2.500512,4.0068345,3.7401497,5.382365,3.3527172,3.8377337,2.8707104,3.9830086,3.5041068,5.186036,2.8362021,4.9029164,4.49632,3.016297,5.226817,2.6665645,3.660907,2.6355917,2.9505515,4.535858,7.046647,3.212392,5.5169163,4.8158984,1.9208194,3.6113083,2.795289,3.026012,3.2497132,5.9338756
203710,3.4772196,3.8073044,3.4251142,2.8195088,2.9390464,2.5583448,5.738382,2.6568809,4.106217,2.5052447,5.508336,2.575836,3.3796089,5.148869,3.56073,2.5110862,3.421095,2.9597237,4.821209,1.9362216,2.5111637,5.5815406,2.364699,4.637379,2.5757813,4.624416,3.0870638,3.3614147,3.5637665,2.906986,3.578764,4.1804266,3.5399556,3.795388,2.7864306,2.7396424,3.5004601,3.4680421,3.9381082,3.9043121,3.151583,2.9595695,3.7145705,3.0793762,3.11745,3.7811863,3.958038,2.5573342,4.5156894,3.994882,3.2557106,3.9949596,3.6479259,1.4680942,3.913328,2.6194382,3.0353646,4.0018497,3.481391,1.8828992,5.0078278,3.8338077,3.1237283,3.1625824,4.1463723,2.941279,3.0582297,5.426416,3.859621
203801,3.224982,4.4557576,5.928668,1.6167196,2.7755723,3.069411,2.5483806,4.2783194,3.0361311,4.6078796,2.895651,2.5310216,2.3650165,3.3592253,2.4353328,3.3825927,4.6813817,1.9967115,3.492181,4.576305,3.074341,3.3484707,1.8823454,3.704403,3.0381694,3.786056,4.22387,3.1100304,4.270661,1.8401504,3.8195913,4.518779,4.0239463,5.1930795,2.7903013,2.1279051,1.4858837,4.3626513,3.7575314,3.9005325,3.3449006,3.2787447,4.325407,4.3218155,3.7922454,3.5477102,3.8116508,2.9745545,2.9002879,3.7794511,2.549316,5.1355987,3.4185402,5.339991,2.7924395,4.3722463,3.4818504,2.4802015,3.0297725,3.6631167,5.78497,4.6525035,3.7170868,6.285427,4.629852,2.9335387,4.321027,2.9970627,3.8249898
203804,3.641024,3.847222,4.955224,2.5693805,2.384084,4.5824823,4.646754,3.3695912,3.2757363,4.756814,2.2476654,4.7309384,3.7476802,5.4395695,4.2935257,3.4275782,2.519018,2.59882,5.1401296,2.9422998,4.889646,3.3151925,3.2990098,3.4235966,3.3114405,4.6053104,3.4577029,1.8722339,2.831602,3.3214152,2.2871182,5.965292,3.4710786,1.8034934,2.7992356,3.498771,3.5173407,5.2569766,3.385491,5.3486676,4.9734063,3.01021,4.8611226,3.6762524,3.454887,2.3952863,3.6174765,3.7106433,3.9197125,3.526601,4.059728,2.671879,3.0963745,3.3826704,2.7345061,5.354623,2.4682965,2.8042104,4.2821455,3.5217314,4.765733,6.593622,4.2958846,4.989099,3.3813941,3.0217526,4.559801,5.5939684,4.6255856
