yyyymm,pr
198704,4.1655293
198705,2.9752238
198706,4.3256273
198707,1.8486266
198708,1.6775209
198709,6.032962
198710,0.43450296
198711,2.9591446
198712,2.3368454
198801,2.698752
198802,0.8660723
198803,1.2861401
198804,3.5849972
198805,1.142034
198806,1.6624353
198807,3.7781277
198808,2.933303
198809,3.0431428
198810,2.732573
198811,2.8932064
198812,1.1946156
198901,2.1563966
198902,4.922935
198903,3.1980631
198904,4.0777965
198905,4.7540092
198906,7.720619
198907,5.2035646
198908,3.0058806
198909,7.500764
198910,2.729018
198911,3.962696
198912,3.1020265
199001,3.7916403
199002,7.1351027
199003,5.2511406
199004,2.3450189
199005,4.997157
199006,1.4587963
199007,4.099373
199008,5.3941183
199009,1.6668862
199010,7.8951654
199011,1.6225828
199012,4.201603
199101,2.6385107
199102,3.4703512
199103,5.711698
199104,4.432211
199105,2.09078
199106,3.8643463
199107,5.008315
199108,4.7400217
199109,1.1343591
199110,0.29665452
199111,4.421684
199112,2.581243
199201,2.782037
199202,3.1131427
199203,3.7251666
199204,3.6512978
199205,5.597185
199206,4.8481812
199207,1.652354
199208,7.0169063
199209,2.3015625
199210,4.401905
199211,5.581634
199212,3.6341093
199301,3.8803425
199302,2.3572052
199303,6.358716
199304,3.4052958
199305,3.0660455
199306,1.5904666
199307,2.085261
199308,3.7338264
199309,2.130754
199310,1.1811708
199311,2.8425562
199312,3.9466631
199401,5.137184
199402,4.412758
199403,6.51153
199404,3.7208138
199405,1.8859808
199406,4.4980655
199407,4.8933773
199408,7.2091494
199409,3.3773918
199410,3.880828
199411,2.5365622
199412,2.1434069
199501,7.054738
199502,4.4026227
199503,2.6380908
199504,1.6581683
199505,3.958538
199506,7.094158
199507,2.338002
199508,6.991416
199509,2.415905
199510,6.7058344
199511,3.0651307
199512,1.2907728
199601,7.6098785
199602,2.9487467
199603,3.378829
199604,2.562746
199605,3.0000756
199606,3.2733414
199607,3.5452738
199608,5.008453
199609,5.7356796
199610,0.72964174
199611,4.480054
199612,3.5079968
199701,3.4589863
199702,4.790559
199703,5.4861226
199704,4.4678745
199705,2.7867622
199706,4.691532
199707,3.4196556
199708,0.6885212
199709,5.7260695
199710,3.0511763
199711,1.7404604
199712,2.638007
199801,9.200248
199802,6.4287796
199803,3.2783194
199804,6.970675
199805,2.5670767
199806,3.111762
199807,2.0491107
199808,1.2270298
199809,1.476848
199810,1.8138461
199811,2.2137852
199812,3.1307008
199901,5.2771206
199902,3.1305099
199903,3.3226497
199904,2.0828187
199905,2.6514733
199906,3.9728842
199907,4.4205914
199908,1.6488459
199909,1.9556326
199910,3.2340844
199911,3.2983868
199912,1.7652104
200001,3.2421613
200002,2.5069695
200003,3.9965096
200004,5.403136
200005,2.6964467
200006,3.8482304
200007,3.9227436
200008,3.0774295
200009,2.9677649
200010,0.063463755
200011,3.2684236
200012,1.87378
200101,2.6134148
200102,2.709207
200103,4.3073163
200104,1.640211
200105,2.6198049
200106,4.019193
200107,5.428982
200108,2.791302
200109,3.594514
200110,1.0590566
200111,1.3135333
200112,2.3815894
200201,4.0178056
200202,1.2453092
200203,4.6953626
200204,1.8641039
200205,3.130912
200206,3.8898919
200207,2.5468676
200208,2.088611
200209,5.621189
200210,3.3269215
200211,3.911422
200212,5.046949
200301,1.6275336
200302,4.6691504
200303,3.946762
200304,5.1098495
200305,7.856914
200306,6.7006903
200307,5.669354
200308,4.4948406
200309,3.3946779
200310,2.4441524
200311,4.5213127
200312,3.2386765
200401,1.118442
200402,3.98273
200403,2.3926601
200404,3.3165827
200405,3.6576147
200406,5.285529
200407,4.0138483
200408,4.098194
200409,18.371685
200410,1.6064022
200411,4.8229775
200412,2.7776198
200501,2.2615151
200502,2.9847963
200503,3.4387567
200504,3.869865
200505,1.9593319
200506,8.1900425
200507,7.4899845
200508,7.226054
200509,0.57002175
200510,2.1882935
200511,4.305841
200512,2.8826942
200601,4.28582
200602,2.3999307
200603,1.4544868
200604,4.9032073
200605,2.8090892
200606,5.333816
200607,2.8683617
200608,5.3038445
200609,5.8945937
200610,3.107154
200611,4.024331
200612,3.0724833
200701,3.2043066
200702,2.542358
200703,2.6706464
200704,1.7172018
200705,1.357685
200706,2.6716156
200707,4.798347
200708,2.1417162
200709,2.5788765
200710,2.4965773
200711,1.4355205
200712,3.5951698
200801,2.851562
200802,2.9116619
200803,4.50626
200804,2.7975078
200805,1.8959552
200806,2.7193089
200807,2.4300487
200808,5.688882
200809,2.5281785
200810,1.4558846
200811,2.0967326
200812,4.589565
200901,2.4973772
200902,2.2792215
200903,3.7083156
200904,3.3390942
200905,7.802361
200906,4.6539273
200907,2.904281
200908,4.5433784
200909,8.349475
200910,4.9594626
200911,4.5285134
200912,6.7473097
