yyyymm,tasmin
197507,15.256575
197508,15.081502
197509,11.065319
197510,5.53723
197511,0.69535756
197512,-3.5491815
197601,-6.63132
197602,-1.2887297
197603,2.6071339
197604,2.880451
197605,7.9838896
197606,12.843336
197607,14.162359
197608,13.834155
197609,9.880002
197610,3.8966155
197611,-2.6824732
197612,-5.253948
197701,-10.146952
197702,-5.6888556
197703,2.7998343
197704,6.1767983
197705,10.136154
197706,13.109206
197707,15.91431
197708,15.889896
197709,13.267451
197710,4.5520363
197711,3.8113315
197712,-3.9539661
197801,-8.516833
197802,-7.19988
197803,-1.0904243
197804,4.633688
197805,8.6677475
197806,13.309207
197807,15.519416
197808,16.311886
197809,13.349561
197810,3.497238
197811,2.3837895
197812,-3.5409806
197901,-5.9087553
197902,-5.1854143
197903,1.5094132
197904,5.402039
197905,9.573731
197906,12.576252
197907,16.013346
197908,14.533607
197909,13.056746
197910,4.2306795
197911,1.0549625
197912,-3.1138546
198001,-2.2065287
198002,-6.985993
198003,-0.78219515
198004,4.556092
198005,9.228889
198006,12.807355
198007,16.366495
198008,15.515775
198009,13.513947
198010,4.483304
198011,-0.26065025
198012,-4.6721487
198101,-7.733525
198102,-4.614453
198103,-2.1870944
198104,6.575429
198105,7.521808
198106,15.379995
198107,16.696625
198108,14.465168
198109,9.720208
198110,3.737989
198111,-0.6166465
198112,-4.665858
198201,-7.0938525
198202,-1.4968145
198203,1.2104291
198204,3.5306506
198205,9.69477
198206,14.042835
198207,16.319456
198208,14.619796
198209,10.625086
198210,5.755836
198211,1.4045503
198212,0.42837933
198301,-4.7902007
198302,-3.1761827
198303,0.07059675
198304,3.4467099
198305,8.174358
198306,12.371048
198307,14.963707
198308,15.153558
198309,10.382598
198310,5.2759147
198311,-0.887159
198312,-6.1755695
198401,-5.5810094
198402,-2.752248
198403,-0.37055197
198404,4.4868917
198405,7.4451933
198406,13.669914
198407,15.133799
198408,15.962798
198409,9.646077
198410,10.360714
198411,-0.8334891
198412,1.0625803
198501,-7.324418
198502,-2.817049
198503,1.5427986
198504,5.393635
198505,9.951967
198506,13.469647
198507,16.1746
198508,15.483028
198509,10.46156
198510,9.747452
198511,7.4197164
198512,-5.585802
198601,-6.239415
198602,-0.9644446
198603,0.020053733
198604,5.043671
198605,10.303514
198606,14.971328
198607,16.701965
198608,15.585818
198609,13.766846
198610,7.2157044
198611,5.065822
198612,-1.5774002
198701,-4.041052
198702,-2.0188563
198703,0.57606834
198704,4.5187635
198705,12.122492
198706,14.64611
198707,16.29554
198708,16.245113
198709,12.201312
198710,1.60351
198711,0.9962296
198712,-0.29863793
198801,-5.9653883
198802,-4.983284
198803,0.7754897
198804,4.8827224
198805,7.8919563
198806,11.64499
198807,15.740182
198808,16.491884
198809,12.760056
198810,2.9396935
198811,1.4643382
198812,-2.9345229
198901,-0.916154
198902,-1.4218438
198903,3.2945783
198904,5.3354564
198905,8.266185
198906,15.036337
198907,17.077707
198908,15.610007
198909,13.404126
198910,6.1033254
198911,1.4425939
198912,-6.0613103
199001,-0.1811902
199002,0.7518047
199003,3.9673269
199004,4.72962
199005,10.276218
199006,14.0318985
199007,16.270834
199008,16.15789
199009,12.4458275
199010,7.211364
199011,1.7644577
199012,0.8758443
199101,-1.6619176
199102,-1.2720588
199103,2.827741
199104,7.734071
199105,13.593408
199106,14.941356
199107,17.55156
199108,16.024157
199109,12.245475
199110,5.6331234
199111,0.8967344
199112,-1.3497072
199201,-2.2526362
199202,-0.5894202
199203,0.013123078
199204,4.5859056
199205,8.352622
199206,13.511586
199207,16.352915
199208,15.361858
199209,13.534835
199210,4.9790454
199211,2.0423028
199212,-1.5120156
199301,0.08105748
199302,-3.4435472
199303,-0.39583835
199304,3.5760963
199305,10.180741
199306,14.164718
199307,17.37228
199308,16.484528
199309,13.0372305
199310,5.104447
199311,0.7440069
199312,-3.2325633
199401,-5.870589
199402,-2.1409233
199403,0.7036507
199404,6.390246
199405,7.6725984
199406,15.632036
199407,16.757097
199408,15.689988
199409,11.151425
199410,6.60679
199411,2.6296625
199412,0.3872179
