yyyymm,tasmax
198111,14.109293
198112,5.258443
198201,6.199168
198202,10.7745075
198203,15.844091
198204,16.904364
198205,25.475872
198206,25.793922
198207,28.05085
198208,26.514072
198209,22.8081
198210,19.228598
198211,13.844143
198212,11.125308
198301,6.247827
198302,8.148777
198303,13.111168
198304,15.698632
198305,21.83475
198306,25.83516
198307,29.06123
198308,29.555706
198309,23.387842
198310,19.271158
198311,13.803358
198312,7.0175548
198401,6.4244633
198402,10.777287
198403,12.690654
198404,16.333612
198405,22.151081
198406,27.087376
198407,26.226011
198408,26.593332
198409,23.863876
198410,22.588734
198411,12.70701
198412,14.672619
198501,3.7203715
198502,8.385874
198503,15.83153
198504,20.82686
198505,23.049513
198506,26.856623
198507,26.842745
198508,25.90533
198509,24.667212
198510,20.90125
198511,17.633678
198512,7.2851458
198601,8.361064
198602,11.381295
198603,14.665467
198604,21.208897
198605,23.167725
198606,28.107943
198607,30.469358
198608,26.240892
198609,24.754435
198610,19.590532
198611,14.854762
198612,8.980501
198701,6.5340853
198702,8.445212
198703,13.681102
198704,17.484863
198705,25.220928
198706,27.026958
198707,29.370012
198708,28.691126
198709,23.65671
198710,18.190342
198711,14.420937
198712,10.551034
198801,5.4642496
198802,8.547786
198803,14.591866
198804,18.983822
198805,23.084599
198806,28.019793
198807,28.282948
198808,28.738401
198809,23.434874
198810,16.036852
198811,14.319391
198812,9.681149
198901,12.221584
198902,9.887229
198903,16.152332
198904,18.098404
198905,20.406836
198906,25.152649
198907,26.57077
198908,26.357687
198909,22.60833
198910,20.101826
198911,13.546719
198912,4.5256042
199001,11.796472
199002,13.329945
199003,15.772036
199004,18.58347
199005,22.64587
199006,26.447311
199007,27.721607
199008,27.590826
199009,24.562498
199010,19.418629
199011,16.959635
199012,12.298097
199101,8.329116
199102,11.064189
199103,14.651493
199104,20.332506
199105,24.15392
199106,25.162859
199107,28.00224
199108,26.157053
199109,24.05899
199110,20.54103
199111,12.271836
199112,10.6786585
199201,9.249641
199202,12.122222
199203,12.966131
199204,18.36778
199205,20.0632
199206,23.353477
199207,28.113207
199208,24.47367
199209,23.861685
199210,18.185501
199211,12.671559
199212,8.117835
199301,9.626191
199302,8.222708
199303,10.257367
199304,17.468931
199305,22.572126
199306,27.051067
199307,31.056877
199308,27.53926
199309,24.906
199310,19.233812
199311,13.619473
199312,7.0396857
199401,4.788748
199402,10.198297
199403,13.998058
199404,21.537533
199405,21.457203
199406,27.050581
199407,26.569693
199408,25.489168
199409,22.79397
199410,18.431986
199411,17.004118
199412,11.01505
199501,7.732454
199502,7.6908135
199503,16.082771
199504,20.53051
199505,23.110544
199506,24.706314
199507,28.76571
199508,27.75527
199509,22.657328
199510,19.317226
199511,11.334318
199512,6.991595
199601,6.506761
199602,9.532712
199603,10.570031
199604,18.069918
199605,24.706142
199606,26.405487
199607,27.048477
199608,26.315683
199609,22.500612
199610,19.304626
199611,10.705432
199612,10.282023
199701,7.0358305
199702,11.030743
199703,16.891548
199704,16.621738
199705,20.825294
199706,23.347017
199707,28.226803
199708,27.063314
199709,24.41113
199710,19.012663
199711,10.351863
199712,7.8562365
199801,9.2489805
199802,8.898193
199803,11.568702
199804,18.121319
199805,24.630268
199806,27.604414
199807,28.736517
199808,28.98593
199809,28.159836
199810,21.47301
199811,15.370388
199812,11.568057
199901,10.136478
199902,10.646225
199903,11.347228
199904,20.431084
199905,23.170088
199906,25.62329
199907,28.429413
199908,29.013031
199909,25.383547
199910,19.06712
199911,16.20412
199912,11.415286
200001,6.3044653
200002,12.451642
200003,16.611876
200004,17.314842
200005,25.195997
200006,26.864546
200007,27.389677
200008,26.826841
200009,23.59712
200010,21.437172
200011,12.33494
200012,4.920809
200101,7.276372
200102,12.358679
200103,10.909197
200104,20.361277
200105,23.529737
200106,25.852036
200107,26.3655
200108,27.57514
200109,23.01335
200110,18.67921
200111,18.187004
200112,12.073481
200201,10.144803
200202,10.396281
200203,14.524725
200204,20.728102
200205,23.16747
200206,27.135412
200207,28.72173
200208,29.148262
200209,25.077238
200210,19.169373
200211,11.650922
200212,7.81992
200301,5.5312614
200302,8.432043
200303,15.420822
200304,19.321022
200305,21.89037
200306,25.270918
